id,sku,primary_barcode,brand_name,generic_name,strength,form,form_custom,manufacturer,therapeutic_category,purchase_unit,base_unit,units_per_purchase,prescription_required,controlled_schedule,tax_code_value,reorder_level,reorder_quantity,reorder_unit,is_active,created_at,updated_at,deleted_at
47,SCAL-LOT,,ScabFREE Lotion,Permethrin Lotion 5% w/v,,LOTION,,ATCO Laboratories Limited,,BOX,BOTTLE,1,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-22 11:57:06.487412+00,2026-05-22 11:57:06.487412+00,
184,SER116-TAB,08002660021793,Serc 16mg,Betahistine Dihydrochloride 16mg,16mg,TABLET,,Abbott Laboratories (Pakistan) Ltd,,BOX,TABLET,30,f,NONE,EXEMPT,60,0,PURCHASE,t,2026-05-23 10:44:15.117571+00,2026-05-23 10:44:15.117571+00,
364,SIL150-CRM,08964002400591,Silverex 1% w/w Creem 50g,Silver Sulfadiazine,50g,CREAM,,Pharmasol Private Limited,,BOX,TUBE,1,f,NONE,EXEMPT,1,0,PURCHASE,t,2026-06-01 15:41:52.962379+00,2026-06-01 15:45:04.827527+00,
134,SIL1-TAB,,Silvora 100mg Tablets,Sildenafil,,TABLET,,Bio-Labs (Private) Limited,,BOX,TABLET,10,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-23 06:23:49.528281+00,2026-05-23 06:23:49.528281+00,
161,SINM5500-TAB,08964002141579,Sinova-M 50mg/500mg,Sitagliptin + Metformin HCl,5mg/500mg,TABLET,,Briell Pharamaceuticals Pvt. Ltd.,,BOX,TABLET,10,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-23 10:08:55.216582+00,2026-05-23 10:08:55.216582+00,
369,SITM-TAB,08961101623784,Sita-Met 50/500,Sitagliptin + Metformin HCI,,TABLET,,CCL Pharmaceuticals,,BOX,TABLET,14,f,NONE,EXEMPT,10,0,PURCHASE,t,2026-06-01 18:06:04.543349+00,2026-06-01 18:06:04.543349+00,
88,SKID-DRP,08961101692834,Skilax Drops,Sodium Picosulfate,,DROPS,,Highnoon Laboratories,,BOX,DROP,1,f,NONE,EXEMPT,2,0,PURCHASE,t,2026-05-22 12:47:17.77825+00,2026-05-22 12:47:17.77825+00,
90,SODG-EAR,,Sodaa Glycerin,Sodium Bicarbonate + Glycerin,,EAR_DROPS,,Festel Laboratories,,BOX,DROP,1,f,NONE,EXEMPT,3,0,PURCHASE,t,2026-05-22 13:10:37.378938+00,2026-05-22 13:10:37.378938+00,
129,SOL1-TAB,08964001371175,Solifen 10mg Tablets,Solifenacin Succinate,,TABLET,,Getz Pharma (Pvt.) Limited,,BOX,TABLET,10,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-23 06:09:28.85174+00,2026-05-23 06:09:28.85174+00,
130,SOL5-TAB,08964001371526,Solifen 5mg Tablets,Solifenacin Succinate,,TABLET,,Getz Pharma (Pvt.) Limited,,BOX,TABLET,10,f,NONE,EXEMPT,20,0,PURCHASE,t,2026-05-23 06:11:31.718468+00,2026-05-23 06:11:31.718468+00,
